id,name,base_title,album_type,total_tracks,release_date,popularity,label,is_rerecording,is_deluxe,nyt_article_count,release_year
7mzrIsaAjnXihW3InKjlC3,Taylor Swift,Taylor Swift,album,15,2006-10-24,67,Taylor Swift,False,False,0,2006
6DEjYFkNZh67HP7R9PSZvv,reputation,reputation,album,15,2017-11-10,86,Taylor Swift,False,False,4,2017
1NAmidJlEaVgA3MpcPFYGq,Lover,Lover,album,18,2019-08-23,88,Taylor Swift,False,False,0,2019
1pzvBxYgT6OVwJLtHkrdQK,folklore (deluxe version),folklore,album,17,2020-08-18,75,Taylor Swift,False,True,0,2020
6AORtDjduMM3bupSWzbTSG,evermore (deluxe version),evermore,album,17,2021-01-07,77,TS/Republic,False,True,0,2021
4hDok0OAJd57SGIT8xuWJH,Fearless (Taylor's Version),Fearless,album,26,2021-04-09,81,Taylor Swift,True,False,0,2021
6kZ42qRrzov54LcAk4onW9,Red (Taylor's Version),Red,album,30,2021-11-12,83,Taylor Swift,True,False,0,2021
151w1FgRZfnKZA9FEcg9Z3,Midnights,Midnights,album,13,2022-10-21,82,Taylor Swift,False,False,5,2022
5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),Speak Now,album,22,2023-07-07,80,Taylor Swift,True,False,0,2023
64LU4c1nfjz1t4VnGhagcg,1989 (Taylor's Version),1989,album,21,2023-10-26,82,Taylor Swift,True,False,0,2023
1Mo4aZ8pdj6L1jx8zSwJnt,THE TORTURED POETS DEPARTMENT,THE TORTURED POETS DEPARTMENT,album,16,2024-04-18,82,Taylor Swift,False,False,0,2024
4a6NzYL1YHRUgx9e3YZI6I,The Life of a Showgirl,The Life of a Showgirl,album,12,2025-10-03,100,Taylor Swift,False,False,7,2025
