id,name,base_title,release_date,release_year,album_type,total_tracks,popularity,label,is_rerecording,is_deluxe,nyt_article_count
7mzrIsaAjnXihW3InKjlC3,Taylor Swift,Taylor Swift,2006-10-24,2006,album,15,67,Taylor Swift,False,False,0
6DEjYFkNZh67HP7R9PSZvv,reputation,reputation,2017-11-10,2017,album,15,87,Taylor Swift,False,False,10
1NAmidJlEaVgA3MpcPFYGq,Lover,Lover,2019-08-23,2019,album,18,88,Taylor Swift,False,False,0
1pzvBxYgT6OVwJLtHkrdQK,folklore (deluxe version),folklore,2020-08-18,2020,album,17,75,Taylor Swift,False,True,6
6AORtDjduMM3bupSWzbTSG,evermore (deluxe version),evermore,2021-01-07,2021,album,17,77,TS/Republic,False,True,3
4hDok0OAJd57SGIT8xuWJH,Fearless (Taylor's Version),Fearless,2021-04-09,2021,album,26,81,Taylor Swift,True,False,4
6kZ42qRrzov54LcAk4onW9,Red (Taylor's Version),Red,2021-11-12,2021,album,30,84,Taylor Swift,True,False,5
151w1FgRZfnKZA9FEcg9Z3,Midnights,Midnights,2022-10-21,2022,album,13,82,Taylor Swift,False,False,0
5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),Speak Now,2023-07-07,2023,album,22,80,Taylor Swift,True,False,0
64LU4c1nfjz1t4VnGhagcg,1989 (Taylor's Version),1989,2023-10-26,2023,album,21,82,Taylor Swift,True,False,1
1Mo4aZ8pdj6L1jx8zSwJnt,THE TORTURED POETS DEPARTMENT,THE TORTURED POETS DEPARTMENT,2024-04-18,2024,album,16,82,Taylor Swift,False,False,0
4a6NzYL1YHRUgx9e3YZI6I,The Life of a Showgirl,The Life of a Showgirl,2025-10-03,2025,album,12,100,Taylor Swift,False,False,12
